# z[m]  mass[kg]  radius[m]  G[-]  rho_org[kg/m3]  age[days]  skin_width[m]
  7.73754617E+04   1.15762500E-12   7.32701696E-06   4.17091234E-01   7.57550442E+02   7.50000000E-01   4.27098241E-06
  8.58596245E+04   1.15762500E-12   8.83208160E-06   7.09248324E-01   6.23630651E+02   7.50000000E-01   2.56794253E-06
  9.48417946E+04   1.15762500E-12   7.97189117E-06   7.73362669E-01   1.01496094E+03   7.50000000E-01   1.80672814E-06
  9.06581385E+04   1.15762500E-12   6.54064703E-06   2.02467967E-01   9.95948219E+02   7.50000000E-01   5.21637552E-06
  5.84226123E+04   1.15762500E-12   6.62310822E-06   5.93707984E-01   1.20300827E+03   7.50000000E-01   2.69091599E-06
  9.84116970E+04   1.15762500E-12   6.03261693E-06   2.07935963E-01   1.27023557E+03   7.50000000E-01   4.77821892E-06
  8.09089382E+04   1.21550625E-12   6.78659691E-06   1.00964920E-01   9.29307925E+02   1.00000000E+00   6.10138869E-06
  8.02029307E+04   1.21550625E-12   7.33033557E-06   7.68464853E-01   1.34881250E+03   1.00000000E+00   1.69723032E-06
  8.69184900E+04   1.21550625E-12   6.26979097E-06   2.75600871E-01   1.20253357E+03   1.00000000E+00   4.54183112E-06
  8.75243934E+04   1.21550625E-12   9.27276336E-06   6.75963530E-01   5.26597339E+02   1.00000000E+00   3.00471351E-06
  1.00995509E+05   1.21550625E-12   6.17935437E-06   4.39961012E-01   1.34429561E+03   1.00000000E+00   3.46067937E-06
  1.03318043E+05   1.21550625E-12   7.06446086E-06   5.52366037E-01   9.89887131E+02   1.00000000E+00   3.16229262E-06
  8.94153085E+04   1.21550625E-12   8.12184880E-06   4.25049738E-01   5.86684481E+02   1.00000000E+00   4.66965910E-06
  8.42210076E+04   1.21550625E-12   6.36765905E-06   4.68436510E-01   1.25266583E+03   1.00000000E+00   3.38481507E-06
  8.12714696E+04   1.21550625E-12   8.29479671E-06   7.72434640E-01   9.43112818E+02   1.00000000E+00   1.88760840E-06
  9.46162181E+04   1.21550625E-12   7.60335183E-06   8.14877213E-01   1.43858018E+03   1.00000000E+00   1.40755368E-06
  8.27202524E+04   1.21550625E-12   8.44558618E-06   7.71453039E-01   8.90594887E+02   1.00000000E+00   1.93021306E-06
  7.81276392E+04   1.21550625E-12   7.41966565E-06   7.98672529E-01   1.44822872E+03   1.00000000E+00   1.49378252E-06
  9.63786374E+04   1.21550625E-12   7.17278939E-06   5.53577686E-01   9.46977049E+02   1.00000000E+00   3.20209324E-06
  8.67189199E+04   1.21550625E-12   6.34666931E-06   3.04467501E-01   1.16805941E+03   1.00000000E+00   4.41431476E-06
  9.73342177E+04   1.21550625E-12   6.11411546E-06   2.11600584E-01   1.28174598E+03   1.00000000E+00   4.82036506E-06
  9.32441359E+04   1.21550625E-12   6.65769160E-06   5.06249981E-01   1.12993041E+03   1.00000000E+00   3.28723535E-06
  9.88605578E+04   1.21550625E-12   6.57524261E-06   6.16843614E-01   1.33384464E+03   1.00000000E+00   2.51934619E-06
  1.04850865E+05   1.21550625E-12   1.27214670E-05   9.14819520E-01   6.01330985E+02   1.00000000E+00   1.08362066E-06
  8.57466054E+04   1.21550625E-12   8.15854903E-06   7.18964902E-01   8.50396839E+02   1.00000000E+00   2.29283863E-06
  9.83740745E+04   1.21550625E-12   7.18898850E-06   6.04434233E-01   1.00237426E+03   1.00000000E+00   2.84371775E-06
  9.91121298E+04   1.21550625E-12   1.31821056E-05   9.17277330E-01   5.55122893E+02   1.00000000E+00   1.09045898E-06
  8.58605171E+04   1.21550625E-12   7.62147929E-06   8.23051183E-01   1.48143439E+03   1.00000000E+00   1.34861174E-06
  7.71998940E+04   1.21550625E-12   7.07986066E-06   2.60680805E-01   8.32447189E+02   1.00000000E+00   5.23427688E-06
  9.43768505E+04   1.21550625E-12   7.22723096E-06   2.08970384E-01   7.75772020E+02   1.00000000E+00   5.71695373E-06
  1.03212234E+05   1.21550625E-12   7.77377052E-06   4.54850197E-01   6.81859340E+02   1.00000000E+00   4.23786946E-06
  9.60373948E+04   1.21550625E-12   7.44715334E-06   4.17091234E-01   7.57550442E+02   1.00000000E+00   4.34101096E-06
  1.04854937E+05   1.21550625E-12   8.97689556E-06   7.09248324E-01   6.23630651E+02   1.00000000E+00   2.61004743E-06
  7.70886820E+04   1.21550625E-12   6.73170306E-06   5.93707984E-01   1.20300827E+03   1.00000000E+00   2.73503721E-06
